Frame,Time_Relative,Protocol_Stage,Details,Transmitter_MAC,Receiver_MAC
"1","0.000000000","1. Discovery","Probe Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"2","0.002254019","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"3","0.002267113","2. Authentication","WPA2 Open Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"4","0.008939057","2. Authentication","WPA2 Open Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"5","0.008949997","3. Association","Association Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"6","0.020508241","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"7","0.020515276","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"8","0.020516334","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"9","0.020517268","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"10","0.035280492","4. Key Exchange (EAPOL)","EAPOL Message 1","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"11","0.050989853","4. Key Exchange (EAPOL)","EAPOL Message 2","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"12","0.051003086","4. Key Exchange (EAPOL)","EAPOL Message 3","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"13","0.051005256","4. Key Exchange (EAPOL)","EAPOL Message 4","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"127","9.788445261","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"128","9.804787792","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"129","9.830963827","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"130","9.854176259","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"148","14.459113594","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"149","14.461253311","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"150","14.480299134","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"151","14.500249807","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"152","14.503212935","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"153","14.507449907","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"154","14.521790573","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"155","14.525363726","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
